export_envelope
scenario_id;BASE;plan_id;final-candidate;case_version;698addcac211e6ef;engine_version;kriokontur-engine/0.2.0;created_at;2026-09-20T06:21:46+00:00
units;"тонны; млн условных денежных единиц в постоянных ценах 2035 года"

assumptions
name;value
discount_rate;0.0800
discount_base_year;2035
timestep;month
emergency_lead_steps;2
earth_new_prep_months;18
isru_commissioning_lag_months;2
opening_stock_source;A
reserve_ramp_months;9
reserve_safety_factor;1.1500
emergency_base_share_threshold;0.1000
storage_commissioning_lag_months;0
emergency_batch_t;
dispatch_mode;reactive

yearly_balance
year;demand_total_t;demand_critical_t;opening_t;delivered_t;losses_t;served_t;served_critical_t;shortage_t;closing_t;capacity_t;reserve_required_t;sl_total;sl_critical;loss_share;overflow_t;avg_stock_t;unused_paid_t
2035;100.0000;80.0000;13.6000;111.2558;5.0065;100.0000;80.0000;0.0000;19.8493;70.0000;12.3288;1.0000;1.0000;0.0450;0.0000;20.7078;0.0000
2036;140.0000;105.0000;19.8493;148.8755;1.7865;140.0000;105.0000;0.0000;26.9384;120.0000;17.2603;1.0000;1.0000;0.0120;0.0000;28.6364;0.0000
2037;190.0000;135.0000;26.9384;200.9179;2.4110;190.0000;135.0000;0.0000;35.4452;120.0000;23.4247;1.0000;1.0000;0.0120;0.0000;38.3995;0.0000
2038;250.0000;170.0000;35.4452;263.0816;3.1570;250.0000;170.0000;0.0000;45.3699;120.0000;30.8219;1.0000;1.0000;0.0120;0.0000;49.9971;0.0000
2039;320.0000;210.0000;45.3699;333.9318;4.0072;320.0000;210.0000;0.0000;55.2945;120.0000;39.4521;1.0000;1.0000;0.0120;0.0000;62.8385;0.0000
2040;390.0000;250.0000;55.2945;394.7368;4.7368;390.0000;250.0000;0.0000;55.2945;120.0000;48.0822;1.0000;1.0000;0.0120;0.0000;71.5445;0.0000

source_schedule
year;source_id;source_name;reserved_t_per_year;ordered_t;delivered_t;payable_t;variable_payment_mln;reservation_payment_mln;contracted_t;unused_paid_t;price_mln_per_t
2035;A;Earth-Core;120.9000;111.2558;111.2558;111.2558;689.7861;54.4050;120.9000;0.0000;6.2000
2035;B;Earth-Flex;11.0000;0.0000;0.0000;0.0000;0.0000;1.6500;11.0000;0.0000;8.9000
2035;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2035;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2035;E;Emergency;13.6000;0.0000;0.0000;0.0000;0.0000;4.7600;13.6000;0.0000;13.8000
2036;A;Earth-Core;162.7000;148.8755;148.8755;148.8755;923.0284;73.2150;162.7000;0.0000;6.2000
2036;B;Earth-Flex;15.4000;0.0000;0.0000;0.0000;0.0000;2.3100;15.4000;0.0000;8.9000
2036;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2036;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2036;E;Emergency;19.0000;0.0000;0.0000;0.0000;0.0000;6.6500;19.0000;0.0000;13.8000
2037;A;Earth-Core;190.0000;166.4679;166.4679;166.4679;1032.1008;85.5000;190.0000;0.0000;6.2000
2037;B;Earth-Flex;110.0000;0.0000;0.0000;0.0000;0.0000;16.5000;110.0000;0.0000;8.9000
2037;C;Earth-New;68.9000;34.4500;34.4500;34.4500;244.5950;20.6700;68.9000;0.0000;7.1000
2037;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2037;E;Emergency;60.0000;0.0000;0.0000;0.0000;0.0000;21.0000;60.0000;0.0000;13.8000
2038;A;Earth-Core;190.0000;189.5091;189.5091;189.5091;1174.9565;85.5000;190.0000;0.0000;6.2000
2038;B;Earth-Flex;38.5000;0.0000;0.0000;0.0000;0.0000;5.7750;38.5000;0.0000;8.9000
2038;C;Earth-New;130.0000;73.5725;73.5725;73.5725;522.3649;39.0000;130.0000;0.0000;7.1000
2038;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2038;E;Emergency;38.5000;0.0000;0.0000;0.0000;0.0000;13.4750;38.5000;0.0000;13.8000
2039;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2039;B;Earth-Flex;110.0000;13.9318;13.9318;13.9318;123.9934;16.5000;110.0000;0.0000;8.9000
2039;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2039;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2039;E;Emergency;49.3000;0.0000;0.0000;0.0000;0.0000;17.2550;49.3000;0.0000;13.8000
2040;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2040;B;Earth-Flex;110.0000;74.7368;74.7368;74.7368;665.1579;16.5000;110.0000;0.0000;8.9000
2040;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2040;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2040;E;Emergency;60.1000;0.0000;0.0000;0.0000;0.0000;21.0350;60.1000;0.0000;13.8000

financial_breakdown
year;procurement_mln;reservation_mln;holding_mln;fixed_opex_mln;capex_mln;total_mln;discounted_mln
2035;774.1061;60.8150;14.9096;0.0000;360.0000;1209.8307;1209.8307
2036;923.0284;82.1750;20.6182;12.0000;180.0000;1217.8216;1127.6126
2037;1276.6958;143.6700;27.6477;12.0000;0.0000;1460.0134;1251.7262
2038;1697.3214;143.7500;35.9979;12.0000;0.0000;1889.0694;1499.6042
2039;2224.9934;158.2550;45.2437;12.0000;0.0000;2440.4921;1793.8345
2040;2766.1579;162.0350;51.5121;12.0000;0.0000;2991.7049;2036.1041
итого;9662.3030;750.7000;195.9292;60.0000;540.0000;11208.9322;8918.7123

inventory_trace
month_index;year;month;opening_t;gross_t;losses_t;served_t;shortage_t;closing_t;capacity_t;target_t;overflow_t;avg_stock_t
0;2035;1;13.6000;9.3313;0.4199;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
1;2035;2;14.1781;8.7260;0.3927;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
2;2035;3;14.1781;8.7260;0.3927;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
3;2035;4;14.1781;9.3858;0.4224;8.3333;0.0000;14.8082;70.0000;14.8082;0.0000;18.9749
4;2035;5;14.8082;9.3858;0.4224;8.3333;0.0000;15.4384;70.0000;15.4384;0.0000;19.6050
5;2035;6;15.4384;9.3858;0.4224;8.3333;0.0000;16.0685;70.0000;16.0685;0.0000;20.2352
6;2035;7;16.0685;9.3858;0.4224;8.3333;0.0000;16.6986;70.0000;16.6986;0.0000;20.8653
7;2035;8;16.6986;9.3858;0.4224;8.3333;0.0000;17.3288;70.0000;17.3288;0.0000;21.4954
8;2035;9;17.3288;9.3858;0.4224;8.3333;0.0000;17.9589;70.0000;17.9589;0.0000;22.1256
9;2035;10;17.9589;9.3858;0.4224;8.3333;0.0000;18.5890;70.0000;18.5890;0.0000;22.7557
10;2035;11;18.5890;9.3858;0.4224;8.3333;0.0000;19.2192;70.0000;19.2192;0.0000;23.3858
11;2035;12;19.2192;9.3858;0.4224;8.3333;0.0000;19.8493;70.0000;19.8493;0.0000;24.0160
12;2036;1;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
13;2036;2;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
14;2036;3;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
15;2036;4;19.8493;12.6056;0.1513;11.6667;0.0000;20.6370;120.0000;20.6370;0.0000;26.4703
16;2036;5;20.6370;12.6056;0.1513;11.6667;0.0000;21.4247;120.0000;21.4247;0.0000;27.2580
17;2036;6;21.4247;12.6056;0.1513;11.6667;0.0000;22.2123;120.0000;22.2123;0.0000;28.0457
18;2036;7;22.2123;12.6056;0.1513;11.6667;0.0000;23.0000;120.0000;23.0000;0.0000;28.8333
19;2036;8;23.0000;12.6056;0.1513;11.6667;0.0000;23.7877;120.0000;23.7877;0.0000;29.6210
20;2036;9;23.7877;12.6056;0.1513;11.6667;0.0000;24.5753;120.0000;24.5753;0.0000;30.4087
21;2036;10;24.5753;12.6056;0.1513;11.6667;0.0000;25.3630;120.0000;25.3630;0.0000;31.1963
22;2036;11;25.3630;12.6056;0.1513;11.6667;0.0000;26.1507;120.0000;26.1507;0.0000;31.9840
23;2036;12;26.1507;12.6056;0.1513;11.6667;0.0000;26.9384;120.0000;26.9384;0.0000;32.7717
24;2037;1;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
25;2037;2;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
26;2037;3;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
27;2037;4;26.9384;16.9823;0.2038;15.8333;0.0000;27.8836;120.0000;27.8836;0.0000;35.8002
28;2037;5;27.8836;16.9823;0.2038;15.8333;0.0000;28.8288;120.0000;28.8288;0.0000;36.7454
29;2037;6;28.8288;16.9823;0.2038;15.8333;0.0000;29.7740;120.0000;29.7740;0.0000;37.6906
30;2037;7;29.7740;16.9823;0.2038;15.8333;0.0000;30.7192;120.0000;30.7192;0.0000;38.6358
31;2037;8;30.7192;16.9823;0.2038;15.8333;0.0000;31.6644;120.0000;31.6644;0.0000;39.5811
32;2037;9;31.6644;16.9823;0.2038;15.8333;0.0000;32.6096;120.0000;32.6096;0.0000;40.5263
33;2037;10;32.6096;16.9823;0.2038;15.8333;0.0000;33.5548;120.0000;33.5548;0.0000;41.4715
34;2037;11;33.5548;16.9823;0.2038;15.8333;0.0000;34.5000;120.0000;34.5000;0.0000;42.4167
35;2037;12;34.5000;16.9823;0.2038;15.8333;0.0000;35.4452;120.0000;35.4452;0.0000;43.3619
36;2038;1;35.4452;21.0864;0.2530;20.8333;0.0000;35.4452;120.0000;35.4452;0.0000;45.8619
37;2038;2;35.4452;21.0864;0.2530;20.8333;0.0000;35.4452;120.0000;35.4452;0.0000;45.8619
38;2038;3;35.4452;21.0864;0.2530;20.8333;0.0000;35.4452;120.0000;35.4452;0.0000;45.8619
39;2038;4;35.4452;22.2025;0.2664;20.8333;0.0000;36.5479;120.0000;36.5479;0.0000;46.9646
40;2038;5;36.5479;22.2025;0.2664;20.8333;0.0000;37.6507;120.0000;37.6507;0.0000;48.0674
41;2038;6;37.6507;22.2025;0.2664;20.8333;0.0000;38.7534;120.0000;38.7534;0.0000;49.1701
42;2038;7;38.7534;22.2025;0.2664;20.8333;0.0000;39.8562;120.0000;39.8562;0.0000;50.2728
43;2038;8;39.8562;22.2025;0.2664;20.8333;0.0000;40.9589;120.0000;40.9589;0.0000;51.3756
44;2038;9;40.9589;22.2025;0.2664;20.8333;0.0000;42.0616;120.0000;42.0616;0.0000;52.4783
45;2038;10;42.0616;22.2025;0.2664;20.8333;0.0000;43.1644;120.0000;43.1644;0.0000;53.5811
46;2038;11;43.1644;22.2025;0.2664;20.8333;0.0000;44.2671;120.0000;44.2671;0.0000;54.6838
47;2038;12;44.2671;22.2025;0.2664;20.8333;0.0000;45.3699;120.0000;45.3699;0.0000;55.7865
48;2039;1;45.3699;26.9906;0.3239;26.6667;0.0000;45.3699;120.0000;45.3699;0.0000;58.7032
49;2039;2;45.3699;26.9906;0.3239;26.6667;0.0000;45.3699;120.0000;45.3699;0.0000;58.7032
50;2039;3;45.3699;26.9906;0.3239;26.6667;0.0000;45.3699;120.0000;45.3699;0.0000;58.7032
51;2039;4;45.3699;28.1067;0.3373;26.6667;0.0000;46.4726;120.0000;46.4726;0.0000;59.8059
52;2039;5;46.4726;28.1067;0.3373;26.6667;0.0000;47.5753;120.0000;47.5753;0.0000;60.9087
53;2039;6;47.5753;28.1067;0.3373;26.6667;0.0000;48.6781;120.0000;48.6781;0.0000;62.0114
54;2039;7;48.6781;28.1067;0.3373;26.6667;0.0000;49.7808;120.0000;49.7808;0.0000;63.1142
