export_envelope
scenario_id;MANDATORY_STRESS;plan_id;final-candidate;case_version;698addcac211e6ef;engine_version;kriokontur-engine/0.2.0;created_at;2026-09-20T06:21:46+00:00
units;"тонны; млн условных денежных единиц в постоянных ценах 2035 года"

assumptions
name;value
discount_rate;0.0800
discount_base_year;2035
timestep;month
emergency_lead_steps;2
earth_new_prep_months;18
isru_commissioning_lag_months;2
opening_stock_source;A
reserve_ramp_months;9
reserve_safety_factor;1.1500
emergency_base_share_threshold;0.1000
storage_commissioning_lag_months;0
emergency_batch_t;
dispatch_mode;reactive

yearly_balance
year;demand_total_t;demand_critical_t;opening_t;delivered_t;losses_t;served_t;served_critical_t;shortage_t;closing_t;capacity_t;reserve_required_t;sl_total;sl_critical;loss_share;overflow_t;avg_stock_t;unused_paid_t
2035;100.0000;80.0000;13.6000;111.2558;5.0065;100.0000;80.0000;0.0000;19.8493;70.0000;12.3288;1.0000;1.0000;0.0450;0.0000;20.7078;0.0000
2036;140.0000;105.0000;19.8493;148.8755;1.7865;140.0000;105.0000;0.0000;26.9384;120.0000;17.2603;1.0000;1.0000;0.0120;0.0000;28.6364;0.0000
2037;190.0000;135.0000;26.9384;206.2992;2.4756;190.0000;135.0000;0.0000;40.7620;120.0000;23.4247;1.0000;1.0000;0.0120;0.0000;40.6149;0.0000
2038;287.5000;195.5000;40.7620;302.5439;3.6305;287.5000;195.5000;0.0000;52.1753;120.0000;35.4452;1.0000;1.0000;0.0120;0.0000;57.4967;0.0000
2039;368.0000;241.5000;52.1753;384.0216;4.6083;368.0000;241.5000;0.0000;63.5887;120.0000;45.3699;1.0000;1.0000;0.0120;0.0000;72.2642;0.0000
2040;448.5000;287.5000;63.5887;430.0000;5.1600;448.5000;287.5000;0.0000;39.9287;120.0000;55.2945;1.0000;1.0000;0.0120;0.0000;69.4604;0.0000

source_schedule
year;source_id;source_name;reserved_t_per_year;ordered_t;delivered_t;payable_t;variable_payment_mln;reservation_payment_mln;contracted_t;unused_paid_t;price_mln_per_t
2035;A;Earth-Core;120.9000;111.2558;111.2558;111.2558;689.7861;54.4050;120.9000;0.0000;6.2000
2035;B;Earth-Flex;11.0000;0.0000;0.0000;0.0000;0.0000;1.6500;11.0000;0.0000;8.9000
2035;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2035;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2035;E;Emergency;13.6000;0.0000;0.0000;0.0000;0.0000;4.7600;13.6000;0.0000;13.8000
2036;A;Earth-Core;162.7000;148.8755;148.8755;148.8755;923.0284;73.2150;162.7000;0.0000;6.2000
2036;B;Earth-Flex;15.4000;0.0000;0.0000;0.0000;0.0000;2.3100;15.4000;0.0000;8.9000
2036;C;Earth-New;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.1000
2036;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2036;E;Emergency;19.0000;0.0000;0.0000;0.0000;0.0000;6.6500;19.0000;0.0000;13.8000
2037;A;Earth-Core;190.0000;171.8492;171.8492;171.8492;1065.4652;85.5000;190.0000;0.0000;6.2000
2037;B;Earth-Flex;110.0000;0.0000;0.0000;0.0000;0.0000;16.5000;110.0000;0.0000;8.9000
2037;C;Earth-New;68.9000;34.4500;34.4500;34.4500;244.5950;20.6700;68.9000;0.0000;7.1000
2037;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2037;E;Emergency;60.0000;0.0000;0.0000;0.0000;0.0000;21.0000;60.0000;0.0000;13.8000
2038;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1472.5000;85.5000;190.0000;0.0000;7.7500
2038;B;Earth-Flex;38.5000;0.0000;0.0000;0.0000;0.0000;5.7750;38.5000;0.0000;11.1250
2038;C;Earth-New;130.0000;112.5439;112.5439;112.5439;799.0616;39.0000;130.0000;0.0000;7.1000
2038;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2038;E;Emergency;38.5000;0.0000;0.0000;0.0000;0.0000;13.4750;38.5000;0.0000;13.8000
2039;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1472.5000;85.5000;190.0000;0.0000;7.7500
2039;B;Earth-Flex;110.0000;64.0216;64.0216;64.0216;712.2405;16.5000;110.0000;0.0000;11.1250
2039;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2039;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2039;E;Emergency;49.3000;0.0000;0.0000;0.0000;0.0000;17.2550;49.3000;0.0000;13.8000
2040;A;Earth-Core;190.0000;190.0000;190.0000;190.0000;1178.0000;85.5000;190.0000;0.0000;6.2000
2040;B;Earth-Flex;110.0000;110.0000;110.0000;110.0000;979.0000;16.5000;110.0000;0.0000;8.9000
2040;C;Earth-New;130.0000;130.0000;130.0000;130.0000;923.0000;39.0000;130.0000;0.0000;7.1000
2040;D;Lunar-ISRU;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.0000
2040;E;Emergency;60.1000;0.0000;0.0000;0.0000;0.0000;21.0350;60.1000;0.0000;13.8000

financial_breakdown
year;procurement_mln;reservation_mln;holding_mln;fixed_opex_mln;capex_mln;total_mln;discounted_mln
2035;774.1061;60.8150;14.9096;0.0000;360.0000;1209.8307;1209.8307
2036;923.0284;82.1750;20.6182;12.0000;180.0000;1217.8216;1127.6126
2037;1310.0602;143.6700;29.2427;12.0000;0.0000;1494.9729;1281.6983
2038;2271.5616;143.7500;41.3976;12.0000;0.0000;2468.7092;1959.7410
2039;3107.7405;158.2550;52.0303;12.0000;0.0000;3330.0257;2447.6683
2040;3080.0000;162.0350;50.0115;12.0000;0.0000;3304.0465;2248.6785
итого;11466.4967;750.7000;208.2099;60.0000;540.0000;13025.4066;10275.2294

inventory_trace
month_index;year;month;opening_t;gross_t;losses_t;served_t;shortage_t;closing_t;capacity_t;target_t;overflow_t;avg_stock_t
0;2035;1;13.6000;9.3313;0.4199;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
1;2035;2;14.1781;8.7260;0.3927;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
2;2035;3;14.1781;8.7260;0.3927;8.3333;0.0000;14.1781;70.0000;14.1781;0.0000;18.3447
3;2035;4;14.1781;9.3858;0.4224;8.3333;0.0000;14.8082;70.0000;14.8082;0.0000;18.9749
4;2035;5;14.8082;9.3858;0.4224;8.3333;0.0000;15.4384;70.0000;15.4384;0.0000;19.6050
5;2035;6;15.4384;9.3858;0.4224;8.3333;0.0000;16.0685;70.0000;16.0685;0.0000;20.2352
6;2035;7;16.0685;9.3858;0.4224;8.3333;0.0000;16.6986;70.0000;16.6986;0.0000;20.8653
7;2035;8;16.6986;9.3858;0.4224;8.3333;0.0000;17.3288;70.0000;17.3288;0.0000;21.4954
8;2035;9;17.3288;9.3858;0.4224;8.3333;0.0000;17.9589;70.0000;17.9589;0.0000;22.1256
9;2035;10;17.9589;9.3858;0.4224;8.3333;0.0000;18.5890;70.0000;18.5890;0.0000;22.7557
10;2035;11;18.5890;9.3858;0.4224;8.3333;0.0000;19.2192;70.0000;19.2192;0.0000;23.3858
11;2035;12;19.2192;9.3858;0.4224;8.3333;0.0000;19.8493;70.0000;19.8493;0.0000;24.0160
12;2036;1;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
13;2036;2;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
14;2036;3;19.8493;11.8084;0.1417;11.6667;0.0000;19.8493;120.0000;19.8493;0.0000;25.6826
15;2036;4;19.8493;12.6056;0.1513;11.6667;0.0000;20.6370;120.0000;20.6370;0.0000;26.4703
16;2036;5;20.6370;12.6056;0.1513;11.6667;0.0000;21.4247;120.0000;21.4247;0.0000;27.2580
17;2036;6;21.4247;12.6056;0.1513;11.6667;0.0000;22.2123;120.0000;22.2123;0.0000;28.0457
18;2036;7;22.2123;12.6056;0.1513;11.6667;0.0000;23.0000;120.0000;23.0000;0.0000;28.8333
19;2036;8;23.0000;12.6056;0.1513;11.6667;0.0000;23.7877;120.0000;23.7877;0.0000;29.6210
20;2036;9;23.7877;12.6056;0.1513;11.6667;0.0000;24.5753;120.0000;24.5753;0.0000;30.4087
21;2036;10;24.5753;12.6056;0.1513;11.6667;0.0000;25.3630;120.0000;25.3630;0.0000;31.1963
22;2036;11;25.3630;12.6056;0.1513;11.6667;0.0000;26.1507;120.0000;26.1507;0.0000;31.9840
23;2036;12;26.1507;12.6056;0.1513;11.6667;0.0000;26.9384;120.0000;26.9384;0.0000;32.7717
24;2037;1;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
25;2037;2;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
26;2037;3;26.9384;16.0256;0.1923;15.8333;0.0000;26.9384;120.0000;26.9384;0.0000;34.8550
27;2037;4;26.9384;17.5803;0.2110;15.8333;0.0000;28.4743;120.0000;28.4743;0.0000;36.3910
28;2037;5;28.4743;17.5803;0.2110;15.8333;0.0000;30.0103;120.0000;30.0103;0.0000;37.9269
29;2037;6;30.0103;17.5803;0.2110;15.8333;0.0000;31.5462;120.0000;31.5462;0.0000;39.4629
30;2037;7;31.5462;17.5803;0.2110;15.8333;0.0000;33.0822;120.0000;33.0822;0.0000;40.9989
31;2037;8;33.0822;17.5803;0.2110;15.8333;0.0000;34.6182;120.0000;34.6182;0.0000;42.5348
32;2037;9;34.6182;17.5803;0.2110;15.8333;0.0000;36.1541;120.0000;36.1541;0.0000;44.0708
33;2037;10;36.1541;17.5803;0.2110;15.8333;0.0000;37.6901;120.0000;37.6901;0.0000;45.6067
34;2037;11;37.6901;17.5803;0.2110;15.8333;0.0000;39.2260;120.0000;39.2260;0.0000;47.1427
35;2037;12;39.2260;17.5803;0.2110;15.8333;0.0000;40.7620;120.0000;40.7620;0.0000;48.6787
36;2038;1;40.7620;24.2493;0.2910;23.9583;0.0000;40.7620;120.0000;40.7620;0.0000;52.7412
37;2038;2;40.7620;24.2493;0.2910;23.9583;0.0000;40.7620;120.0000;40.7620;0.0000;52.7412
38;2038;3;40.7620;24.2493;0.2910;23.9583;0.0000;40.7620;120.0000;40.7620;0.0000;52.7412
39;2038;4;40.7620;25.5329;0.3064;23.9583;0.0000;42.0301;120.0000;42.0301;0.0000;54.0093
40;2038;5;42.0301;25.5329;0.3064;23.9583;0.0000;43.2983;120.0000;43.2983;0.0000;55.2775
41;2038;6;43.2983;25.5329;0.3064;23.9583;0.0000;44.5664;120.0000;44.5664;0.0000;56.5456
42;2038;7;44.5664;25.5329;0.3064;23.9583;0.0000;45.8346;120.0000;45.8346;0.0000;57.8138
43;2038;8;45.8346;25.5329;0.3064;23.9583;0.0000;47.1027;120.0000;47.1027;0.0000;59.0819
44;2038;9;47.1027;25.5329;0.3064;23.9583;0.0000;48.3709;120.0000;48.3709;0.0000;60.3501
45;2038;10;48.3709;25.5329;0.3064;23.9583;0.0000;49.6390;120.0000;49.6390;0.0000;61.6182
46;2038;11;49.6390;25.5329;0.3064;23.9583;0.0000;50.9072;120.0000;50.9072;0.0000;62.8864
47;2038;12;50.9072;25.5329;0.3064;23.9583;0.0000;52.1753;120.0000;52.1753;0.0000;64.1545
48;2039;1;52.1753;31.0391;0.3725;30.6667;0.0000;52.1753;120.0000;52.1753;0.0000;67.5087
49;2039;2;52.1753;31.0391;0.3725;30.6667;0.0000;52.1753;120.0000;52.1753;0.0000;67.5087
50;2039;3;52.1753;31.0391;0.3725;30.6667;0.0000;52.1753;120.0000;52.1753;0.0000;67.5087
51;2039;4;52.1753;32.3227;0.3879;30.6667;0.0000;53.4435;120.0000;53.4435;0.0000;68.7768
52;2039;5;53.4435;32.3227;0.3879;30.6667;0.0000;54.7116;120.0000;54.7116;0.0000;70.0450
53;2039;6;54.7116;32.3227;0.3879;30.6667;0.0000;55.9798;120.0000;55.9798;0.0000;71.3131
54;2039;7;55.9798;32.3227;0.3879;30.6667;0.0000;57.2479;120.0000;57.2479;0.0000;72.5813
