export_envelope
scenario_id;MANDATORY_STRESS;plan_id;robust;case_version;698addcac211e6ef;engine_version;kriokontur-engine/0.2.0;created_at;2026-09-18T21:04:56+00:00
units;"тонны; млн условных денежных единиц в постоянных ценах 2035 года"

assumptions
name;value
discount_rate;0.08
discount_base_year;2035
timestep;month
emergency_lead_steps;2
earth_new_prep_months;18
isru_commissioning_lag_months;2
opening_stock_source;A
reserve_ramp_months;9
reserve_safety_factor;1.08
emergency_base_share_threshold;0.1

yearly_balance
year;demand_total_t;demand_critical_t;opening_t;delivered_t;losses_t;served_t;served_critical_t;shortage_t;closing_t;capacity_t;reserve_required_t;sl_total;sl_critical;loss_share
2035;100.00;80.00;12.40;111.25;5.01;100.00;80.00;0.00;18.64;70;12.33;1.0000;1.0000;0.0450
2036;140.00;105.00;18.64;148.44;1.78;140.00;105.00;0.00;25.30;120;17.26;1.0000;1.0000;0.0120
2037;190.00;135.00;25.30;205.45;2.47;190.00;135.00;0.00;38.28;120;23.42;1.0000;1.0000;0.0120
2038;287.50;195.50;38.28;297.34;3.57;287.50;195.50;0.00;44.55;120;35.45;1.0000;1.0000;0.0120
2039;368.00;241.50;44.55;385.32;4.62;368.00;241.50;0.00;57.25;120;45.37;1.0000;1.0000;0.0120
2040;448.50;287.50;57.25;456.45;5.48;448.50;287.50;0.00;59.72;120;55.29;1.0000;1.0000;0.0120

source_schedule
year;source_id;source_name;reserved_t_per_year;ordered_t;delivered_t;payable_t;variable_payment_mln;reservation_payment_mln
2035;A;Earth-Core;109.90;109.04;109.04;109.04;676.02;49.46
2035;B;Earth-Flex;10.00;2.21;2.21;2.21;19.69;1.50
2035;C;Earth-New;0.00;0.00;0.00;0.00;0.00;0.00
2035;D;Lunar-ISRU;0.00;0.00;0.00;0.00;0.00;0.00
2035;E;Emergency;12.30;0.00;0.00;0.00;0.00;4.30
2036;A;Earth-Core;147.90;146.35;146.35;146.35;907.37;66.56
2036;B;Earth-Flex;14.00;2.09;2.09;2.09;18.59;2.10
2036;C;Earth-New;0.00;0.00;0.00;0.00;0.00;0.00
2036;D;Lunar-ISRU;0.00;0.00;0.00;0.00;0.00;0.00
2036;E;Emergency;17.30;0.00;0.00;0.00;0.00;6.05
2037;A;Earth-Core;190.00;190.00;190.00;190.00;1178.00;85.50
2037;B;Earth-Flex;19.00;5.33;5.33;5.33;47.41;2.85
2037;C;Earth-New;28.90;10.12;10.12;10.12;71.86;8.67
2037;D;Lunar-ISRU;0.00;0.00;0.00;0.00;0.00;0.00
2037;E;Emergency;23.40;0.00;0.00;0.00;0.00;8.19
2038;A;Earth-Core;190.00;188.78;188.78;188.78;1463.06;85.50
2038;B;Earth-Flex;28.80;4.80;4.80;4.80;53.40;4.32
2038;C;Earth-New;56.00;48.76;48.76;48.76;346.19;16.80
2038;D;Lunar-ISRU;120.00;100.00;55.00;100.00;300.00;0.00
2038;E;Emergency;35.40;0.00;0.00;0.00;0.00;12.39
2039;A;Earth-Core;190.00;190.00;190.00;190.00;1472.50;85.50
2039;B;Earth-Flex;36.80;4.49;4.49;4.49;49.95;5.52
2039;C;Earth-New;102.50;100.83;100.83;100.83;715.88;30.75
2039;D;Lunar-ISRU;120.00;120.00;90.00;120.00;360.00;0.00
2039;E;Emergency;45.40;0.00;0.00;0.00;0.00;15.89
2040;A;Earth-Core;190.00;190.00;190.00;190.00;1178.00;85.50
2040;B;Earth-Flex;58.70;16.45;16.45;16.45;146.38;8.80
2040;C;Earth-New;130.00;130.00;130.00;130.00;923.00;39.00
2040;D;Lunar-ISRU;120.00;120.00;120.00;120.00;360.00;0.00
2040;E;Emergency;55.30;0.00;0.00;0.00;0.00;19.35

financial_breakdown
year;procurement_mln;reservation_mln;holding_mln;fixed_opex_mln;capex_mln;total_mln;discounted_mln
2035;772.58;55.26;11.18;0.00;90.00;929.03;929.03
2036;925.96;74.71;15.42;12.00;1700.00;2728.09;2526.01
2037;1297.27;100.87;22.09;12.00;0.00;1432.23;1227.90
2038;2162.65;119.01;27.87;82.00;0.00;2391.53;1898.47
2039;2598.33;137.66;36.72;82.00;0.00;2854.71;2098.30
2040;2607.38;152.66;43.00;82.00;0.00;2885.04;1963.51
итого;10364.17;640.17;156.27;270.00;1790.00;13220.62;10643.22

inventory_trace
month_index;year;month;opening_t;gross_t;losses_t;served_t;shortage_t;closing_t;capacity_t;target_t
0;2035;1;12.400;9.684;0.436;8.333;0.000;13.315;70;13.315
1;2035;2;13.315;8.726;0.393;8.333;0.000;13.315;70;13.315
2;2035;3;13.315;8.726;0.393;8.333;0.000;13.315;70;13.315
3;2035;4;13.315;9.346;0.421;8.333;0.000;13.907;70;13.907
4;2035;5;13.907;9.346;0.421;8.333;0.000;14.499;70;14.499
5;2035;6;14.499;9.346;0.421;8.333;0.000;15.090;70;15.090
6;2035;7;15.090;9.346;0.421;8.333;0.000;15.682;70;15.682
7;2035;8;15.682;9.346;0.421;8.333;0.000;16.274;70;16.274
8;2035;9;16.274;9.346;0.421;8.333;0.000;16.866;70;16.866
9;2035;10;16.866;9.346;0.421;8.333;0.000;17.458;70;17.458
10;2035;11;17.458;9.346;0.421;8.333;0.000;18.049;70;18.049
11;2035;12;18.049;9.346;0.421;8.333;0.000;18.641;70;18.641
12;2036;1;18.641;11.808;0.142;11.667;0.000;18.641;120;18.641
13;2036;2;18.641;11.808;0.142;11.667;0.000;18.641;120;18.641
14;2036;3;18.641;11.808;0.142;11.667;0.000;18.641;120;18.641
15;2036;4;18.641;12.557;0.151;11.667;0.000;19.381;120;19.381
16;2036;5;19.381;12.557;0.151;11.667;0.000;20.121;120;20.121
17;2036;6;20.121;12.557;0.151;11.667;0.000;20.860;120;20.860
18;2036;7;20.860;12.557;0.151;11.667;0.000;21.600;120;21.600
19;2036;8;21.600;12.557;0.151;11.667;0.000;22.340;120;22.340
20;2036;9;22.340;12.557;0.151;11.667;0.000;23.079;120;23.079
21;2036;10;23.079;12.557;0.151;11.667;0.000;23.819;120;23.819
22;2036;11;23.819;12.557;0.151;11.667;0.000;24.559;120;24.559
23;2036;12;24.559;12.557;0.151;11.667;0.000;25.299;120;25.299
24;2037;1;25.299;16.026;0.192;15.833;0.000;25.299;120;25.299
25;2037;2;25.299;16.026;0.192;15.833;0.000;25.299;120;25.299
26;2037;3;25.299;16.026;0.192;15.833;0.000;25.299;120;25.299
27;2037;4;25.299;17.417;0.209;15.833;0.000;26.673;120;26.741
28;2037;5;26.673;17.417;0.209;15.833;0.000;28.047;120;28.184
29;2037;6;28.047;17.417;0.209;15.833;0.000;29.422;120;29.626
30;2037;7;29.422;17.693;0.212;15.833;0.000;31.068;120;31.068
31;2037;8;31.068;17.486;0.210;15.833;0.000;32.511;120;32.511
32;2037;9;32.511;17.486;0.210;15.833;0.000;33.953;120;33.953
33;2037;10;33.953;17.486;0.210;15.833;0.000;35.396;120;35.396
34;2037;11;35.396;17.486;0.210;15.833;0.000;36.838;120;36.838
35;2037;12;36.838;17.486;0.210;15.833;0.000;38.281;120;38.281
36;2038;1;38.281;22.900;0.275;23.958;0.000;36.948;120;38.281
37;2038;2;36.948;22.900;0.275;23.958;0.000;35.615;120;38.281
38;2038;3;35.615;22.448;0.269;23.958;0.000;33.835;120;38.281
39;2038;4;33.835;25.455;0.305;23.958;0.000;35.026;120;39.472
40;2038;5;35.026;25.455;0.305;23.958;0.000;36.217;120;40.663
41;2038;6;36.217;25.455;0.305;23.958;0.000;37.408;120;41.854
42;2038;7;37.408;25.455;0.305;23.958;0.000;38.599;120;43.045
43;2038;8;38.599;25.455;0.305;23.958;0.000;39.790;120;44.236
44;2038;9;39.790;25.455;0.305;23.958;0.000;40.981;120;45.427
45;2038;10;40.981;25.455;0.305;23.958;0.000;42.172;120;46.618
46;2038;11;42.172;25.455;0.305;23.958;0.000;43.362;120;47.808
47;2038;12;43.362;25.455;0.305;23.958;0.000;44.553;120;48.999
48;2039;1;44.553;33.039;0.396;30.667;0.000;46.529;120;48.999
49;2039;2;46.529;31.039;0.372;30.667;0.000;46.529;120;48.999
50;2039;3;46.529;31.039;0.372;30.667;0.000;46.529;120;48.999
51;2039;4;46.529;32.245;0.387;30.667;0.000;47.720;120;50.190
52;2039;5;47.720;32.245;0.387;30.667;0.000;48.911;120;51.381
53;2039;6;48.911;32.245;0.387;30.667;0.000;50.102;120;52.572
54;2039;7;50.102;32.245;0.387;30.667;0.000;51.293;120;53.763
55;2039;8;51.293;32.245;0.387;30.667;0.000;52.484;120;54.954
56;2039;9;52.484;32.245;0.387;30.667;0.000;53.675;120;56.145
57;2039;10;53.675;32.245;0.387;30.667;0.000;54.866;120;57.336
58;2039;11;54.866;32.245;0.387;30.667;0.000;56.057;120;58.527
59;2039;12;56.057;32.245;0.387;30.667;0.000;57.248;120;59.718
60;2040;1;57.248;40.329;0.484;37.375;0.000;59.718;120;59.718
61;2040;2;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
62;2040;3;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
63;2040;4;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
64;2040;5;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
65;2040;6;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
66;2040;7;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
67;2040;8;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
68;2040;9;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
69;2040;10;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
70;2040;11;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718
71;2040;12;59.718;37.829;0.454;37.375;0.000;59.718;120;59.718

constraint_checks
code;severity;period;metric;value;limit;excess;message
RESERVE_45D_NOT_MET;hard;2039;reserve_equivalent_days;44.55;45.37;0.82;RESERVE_45D_NOT_MET year=2039 opening_inventory=44.6 required=45.4 excess=0.8
